id	cat_url	cod	cod_n	stat	stat_n
c0	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348734	1	is carta de Hon	^^^	^^^
c1	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348735	1	is carta de Hon	^^^	^^^
c2	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348736	1	is carta de Hon	^^^	^^^
c3	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348737	1	is carta de Hon	^^^	^^^
c4	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348738	^^^	^^^	^^^	^^^
c5	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348739	^^^	^^^	^^^	^^^
c6	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348740	^^^	^^^	^^^	^^^
c7	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348741	^^^	^^^	^^^	^^^
c8	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348742	^^^	^^^	^^^	^^^
c9	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348744	^^^	^^^	^^^	^^^
c10	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348743	^^^	^^^	^^^	^^^
c11	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348746	1	is carta de Hon	^^^	^^^
c12	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348747	1	is carta de Hon	^^^	^^^
c13	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348748	1	is carta de Hon	^^^	^^^
c14	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348749	^^^	^^^	^^^	^^^
c15	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348745	^^^	^^^	^^^	^^^
c16	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348752	^^^	^^^	^^^	^^^
c17	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348753	^^^	^^^	^^^	^^^
c18	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348750	^^^	^^^	^^^	^^^
c19	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348751	^^^	^^^	^^^	^^^
c20	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348754	^^^	^^^	^^^	^^^
c21	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348755	^^^	^^^	^^^	^^^
c22	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348756	^^^	^^^	^^^	^^^
c23	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348757	^^^	^^^	^^^	^^^
c24	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348759	1	is carta de Hon	^^^	^^^
c25	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348758	1	is carta de Hon	^^^	^^^
c26	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348760	1	is carta de Hon	^^^	^^^
c27	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348761	^^^	^^^	^^^	^^^
c28	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348763	1	is carta de Hon	^^^	^^^
c29	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348762	1	is carta de Hon	^^^	^^^
c30	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348767	^^^	^^^	^^^	^^^
c31	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348766	^^^	^^^	^^^	^^^
c32	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348768	^^^	^^^	^^^	^^^
c33	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348769	1	is carta de Hon	^^^	^^^
c34	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348770	1	is carta de Hon	^^^	^^^
c35	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348764	^^^	^^^	^^^	^^^
c36	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348765	^^^	^^^	^^^	^^^
c37	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348771	^^^	^^^	^^^	^^^
c38	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348773	1	is carta de Hon	^^^	^^^
c39	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348772	1	is carta de Hon	^^^	^^^
c40	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348774	^^^	^^^	^^^	^^^
c41	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348775	^^^	^^^	^^^	^^^
c42	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348776	1	is carta de Hon	^^^	^^^
c43	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348777	1	is carta de Hon	^^^	^^^
c44	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348778	^^^	^^^	^^^	^^^
c45	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348779	^^^	^^^	^^^	^^^
c46	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348780	^^^	^^^	^^^	^^^
c47	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348782	^^^	^^^	^^^	^^^
c48	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348781	1	is carta de Hon	^^^	^^^
c49	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348783	1	is carta de Hon	^^^	^^^
c50	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348784	^^^	^^^	^^^	^^^
c51	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348785	^^^	^^^	^^^	^^^
c52	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348786	1	is carta de Hon	^^^	^^^
c53	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348787	1	is carta de Hon	^^^	^^^
c54	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348788	1	is carta de Hon	^^^	^^^
c55	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348789	1	is carta de Hon	^^^	^^^
c56	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348790	1	is carta de Hon	^^^	^^^
c57	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348791	0	dated post-1680	-^-	^^^
c58	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348792	0	dated post-1680	-^-	^^^
c59	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348794	0	dated post-1680	-^-	^^^
c60	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348795	0	dated post-1680	-^-	^^^
c61	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348796	0	dated post-1680	-^-	^^^
c62	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348793	0	dated post-1680	-^-	^^^
c63	http://pares.mcu.es/ParesBusquedas20/catalogo/description/348797	0	dated post-1680	-^-	^^^
c64	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347103	^^^	^^^	^^^	^^^
c65	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347104	^^^	^^^	^^^	^^^
c66	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347105	^^^	^^^	^^^	^^^
c67	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347106	^^^	^^^	^^^	^^^
c68	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347107	^^^	^^^	^^^	^^^
c69	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347108	^^^	^^^	^^^	^^^
c70	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347109	^^^	^^^	^^^	^^^
c71	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347110	^^^	^^^	^^^	^^^
c72	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347111	^^^	^^^	^^^	^^^
c73	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347112	^^^	^^^	^^^	^^^
c74	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347113	^^^	^^^	^^^	^^^
c75	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347114	^^^	^^^	^^^	^^^
c76	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347115	^^^	^^^	^^^	^^^
c77	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347116	^^^	^^^	^^^	^^^
c78	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347117	^^^	^^^	^^^	^^^
c79	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347118	^^^	^^^	^^^	^^^
c80	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347120	^^^	^^^	^^^	^^^
c81	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347119	^^^	^^^	^^^	^^^
c82	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347122	^^^	^^^	^^^	^^^
c83	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347123	^^^	^^^	^^^	^^^
c84	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347124	^^^	^^^	^^^	^^^
c85	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347126	^^^	^^^	^^^	^^^
c86	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347125	^^^	^^^	^^^	^^^
c87	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347127	^^^	^^^	^^^	^^^
c88	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347128	^^^	^^^	^^^	^^^
c89	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347129	^^^	^^^	^^^	^^^
c90	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347130	^^^	^^^	^^^	^^^
c91	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347131	^^^	^^^	^^^	^^^
c92	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347132	^^^	^^^	^^^	^^^
c93	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347133	^^^	^^^	^^^	^^^
c94	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347135	^^^	^^^	^^^	^^^
c95	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347136	^^^	^^^	^^^	^^^
c96	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347134	^^^	^^^	^^^	^^^
c97	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347137	^^^	^^^	^^^	^^^
c98	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347138	^^^	^^^	^^^	^^^
c99	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347139	^^^	^^^	^^^	^^^
c100	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347140	^^^	^^^	^^^	^^^
c101	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347141	^^^	^^^	^^^	^^^
c102	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347142	^^^	^^^	^^^	^^^
c103	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347144	^^^	^^^	^^^	^^^
c104	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347143	^^^	^^^	^^^	^^^
c105	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347145	^^^	^^^	^^^	^^^
c106	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347146	^^^	^^^	^^^	^^^
c107	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347147	^^^	^^^	^^^	^^^
c108	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347148	^^^	^^^	^^^	^^^
c109	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347150	^^^	^^^	^^^	^^^
c110	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347149	^^^	^^^	^^^	^^^
c111	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347151	^^^	^^^	^^^	^^^
c112	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347152	^^^	^^^	^^^	^^^
c113	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347154	^^^	^^^	^^^	^^^
c114	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347153	^^^	^^^	^^^	^^^
c115	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347155	^^^	^^^	^^^	^^^
c116	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347156	^^^	^^^	^^^	^^^
c117	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347157	^^^	^^^	^^^	^^^
c118	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347159	^^^	^^^	^^^	^^^
c119	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347158	^^^	^^^	^^^	^^^
c120	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347160	^^^	^^^	^^^	^^^
c121	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347161	^^^	^^^	^^^	^^^
c122	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347164	^^^	^^^	^^^	^^^
c123	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347163	^^^	^^^	^^^	^^^
c124	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347162	^^^	^^^	^^^	^^^
c125	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347166	^^^	^^^	^^^	^^^
c126	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347165	^^^	^^^	^^^	^^^
c127	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347184	^^^	^^^	^^^	^^^
c128	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347185	^^^	^^^	^^^	^^^
c129	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347167	^^^	^^^	^^^	^^^
c130	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347168	^^^	^^^	^^^	^^^
c131	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347169	^^^	^^^	^^^	^^^
c132	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347170	^^^	^^^	^^^	^^^
c133	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347171	^^^	^^^	^^^	^^^
c134	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347173	^^^	^^^	^^^	^^^
c135	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347174	^^^	^^^	^^^	^^^
c136	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347176	^^^	^^^	^^^	^^^
c137	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347172	^^^	^^^	^^^	^^^
c138	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347175	^^^	^^^	^^^	^^^
c139	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347177	^^^	^^^	^^^	^^^
c140	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347178	^^^	^^^	^^^	^^^
c141	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347179	^^^	^^^	^^^	^^^
c142	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347180	^^^	^^^	^^^	^^^
c143	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347181	^^^	^^^	^^^	^^^
c144	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347182	^^^	^^^	^^^	^^^
c145	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347183	^^^	^^^	^^^	^^^
c146	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347186	^^^	^^^	^^^	^^^
c147	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347187	^^^	^^^	^^^	^^^
c148	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347188	^^^	^^^	^^^	^^^
c149	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347189	^^^	^^^	^^^	^^^
c150	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347190	^^^	^^^	^^^	^^^
c151	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347191	^^^	^^^	^^^	^^^
c152	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347192	^^^	^^^	^^^	^^^
c153	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347194	^^^	^^^	^^^	^^^
c154	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347195	^^^	^^^	^^^	^^^
c155	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347196	^^^	^^^	^^^	^^^
c156	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347197	^^^	^^^	^^^	^^^
c157	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347198	^^^	^^^	^^^	^^^
c158	http://pares.mcu.es/ParesBusquedas20/catalogo/description/347199	^^^	^^^	^^^	^^^
