# incidents from /incidents in Hond Bay (noall) or Bz only (nobz) - dummy data rn w whitespace (tab) separators - make sure noall value *excludes* nobz value to stack
yr	noall	nobz
1601	2	0
1602	0	0
1603	2	0
1604	2	0
1605	0	0
1606	4	0
1607	5	0
1608	0	0
1609	0	0
1610	1	0
1611	0	0
1612	0	0
1613	1	0
1614	0	0
1615	0	0
1616	0	0
1617	0	1
1618	1	0
1619	0	0
1620	0	0
1621	0	0
1622	0	0
1623	0	0
1624	0	0
1625	0	0
1626	0	0
1627	0	0
1628	0	0
1629	0	0
1630	2	0
1631	1	0
1632	1	0
1633	2	0
1634	1	0
1635	0	0
1636	3	0
1637	2	0
1638	6	0
1639	5	0
1640	6	0
1641	4	0
1642	4	3
1643	4	0
1644	4	0
1645	1	0
1646	1	0
1647	1	0
1648	2	0
1649	0	0
1650	3	0
1651	2	0
1652	1	1
1653	0	0
1654	2	0
1655	0	0
1656	1	0
1657	0	0
1658	0	0
1659	1	0
1660	2	0
1661	0	0
1662	0	0
1663	0	0
1664	0	0
1665	3	0
1666	1	0
1667	3	0
1668	0	0
1669	0	0
1670	1	0
1671	0	0
1672	1	0
1673	0	0
1674	0	0
1675	0	0
1676	1	0
1677	1	0
1678	2	0
1679	2	0
1680	2	0
1681	0	0
1682	2	0
1683	5	0
1684	1	0
1685	2	0
1686	3	0
1687	3	0
1688	4	0
1689	0	0
1690	1	0
1691	0	0
1692	0	0
1693	0	0
1694	1	0
1695	0	0
1696	0	0
1697	0	0
1698	0	0
1699	1	0
1700	0	0
